genre,num
로맨스,1
사랑,1
좋다,1
희망,1
좋아하다,1
설레다,1
믿다,1
달달하다,1
아름답다,1
감사하다,1
따뜻하다,1
진심,1
행복,1
웃음,1
즐겁다,1
기쁨,1
귀엽다,1
예쁘다,1
편안하다,1
다정하다,1
끌리다,1
공포,2
충격,2
불안,2
질리다,2
분노,2
범죄,2
떨다,2
고통,2
무섭다,2
걱정,2
괴담,2
슬픔,2
위협,2
지리다,2
역대급,2
의심,2
혼란,2
충격,2
걱정,2
긴장,2
위기,2
다큐멘터리,3
진심,3
평화,3
감동,3
고발,3
실화,3
도움,3
고민,3
권장,3
편견,3
인상적,3
공감,3
해결,3
애정,3
지루하다,3
희망,3
소소하다,3
특별,3
주목,3
모르다,3
논란,3
드라마,4
좋아하다,4
사랑,4
진심,4
감동,4
흥미롭다,4
울다,4
웃음,4
눈물,4
아름답다,4
행복,4
축하,4
응원,4
여운,4
소중하다,4
깊이있다,4
매력적,4
기쁨,4
감사하다,4
찡하다,4
따뜻하다,4
스릴러,5
범죄,5
충격,5
떨다,5
수상하다,5
의심,5
정체불명,5
의문,5
어둡다,5
위기,5
긴장,5
몰입,5
나쁘다,5
피해,5
불안,5
심각한,5
해결,5
논란,5
가능,5
우려,5
믿다,5
액션,6
불량,6
범죄,6
통쾌하다,6
끝내주다,6
웃음,6
뭉치다,6
활약,6
강렬하다,6
감탄,6
화려하다,6
각성하다,6
열정,6
멋지다,6
위기,6
납치,6
처단하다,6
시원하다,6
짜릿하다,6
빠르다,6
잘하다,6
코미디,7
웃음,7
유쾌하다,7
발랄하다,7
재밌다,7
즐기다,7
통쾌하다,7
진심,7
신나다,7
즐겁다,7
긍정적,7
웃다,7
무해하다,7
로맨틱,7
공감,7
웃기다,7
빵터지다,7
밝다,7
힘나다,7
시원하다,7
귀엽다,7
판타지,8
영감받다,8
충격,8
정체불명,8
화려하다,8
심오하다,8
다양하다,8
매력있다,8
진심,8
즐거움,8
세련되다,8
잘모르다,8
탄탄하다,8
개성넘치다,8
도망치다,8
복잡하다,8
즐기다,8
신기하다,8
생각,8
난해하다,8
예쁘다,8






